"synset","rating","words__-","words"
"","","","foundation"
"","","","fundament"
"","","","groundwork"
"","","","cornerstone"
"1931262","0.0","coach",""
"5823517","0.0","","background"
"","","","background knowledge"
"2112701","0.0","","corporate"
"","","","collective"
"1030678","0.0","communicate",""
"1227495","0.0","mercy",""
"1017320","0.0","","support"
"","","","supporting"
"9179382","0.0","","score"
"","","","account"
"1814385","0.0","political",""
"8180639","0.0","","labor"
"","","","labour"
"","","","working class"
"","","","proletariat"
"894221","0.0","","excuse"
"","","","beg off"
"2406585","0.0","","succeed"
"","","","come after"
"","","","follow"
"6513366","0.0","","request"
"","","","petition"
"","","","postulation"
"2271137","0.0","","invest"
"","","","put"
"","","","commit"
"","","","place"
"116588","0.0","","together"
"","","","unitedly"
"1089635","0.0","charity",""
"444984","0.0","adjacent",""
"31798","0.0","already",""
"878348","0.0","","submit"
"","","","bow"
"","","","defer"
"","","","accede"
"","","","give in"
"2472563","0.0","overhead",""
"6686174","0.0","guarantee",""
"1015244","0.0","","testify"
"","","","bear witness"
"","","","prove"
"","","","evidence"
"","","","show"
"35058","0.0","","frequently"
"","","","often"
"","","","oftentimes"
"","","","oft"
"","","","ofttimes"
"5813626","0.0","reminder",""
"2237782","0.0","","put up"
"","","","contribute"
"2479990","0.0","distribute",""
"522751","0.0","","receive"
"","","","get"
"","","","find"
"","","","obtain"
"","","","incur"
"171852","0.0","","build up"
"","","","develop"
"7976181","0.0","congregation",""
"1217043","0.0","","hold"
"","","","support"
"","","","sustain"
"","","","hold up"
"1602318","0.0","","poise"
"","","","balance"
"111358","0.0","","hook shot"
"","","","hook"
"121214","0.0","","alternate"
"","","","take turns"
"2354537","0.0","supportive",""
"1752884","0.0","","produce"
"","","","bring about"
"","","","give rise"
"1573762","0.0","near",""
"2000868","0.0","","pursue"
"","","","follow"
"7242104","0.0","","debate"
"","","","disputation"
"","","","public debate"
"2027411","0.0","","bunch together"
"","","","bunch"
"","","","bunch up"
"13946760","0.0","","equality"
"","","","equivalence"
"","","","equation"
"","","","par"
"5938400","0.0","","original"
"","","","archetype"
"","","","pilot"
