Channel,videoID,videoKind,videoTitle,playlistID
UCH4BNI0-FOK2dMXoFtViWHw | It's Okay To Be Smart,YFZS3Vh4lfI,youtube#video,How Much Plastic is in the Ocean?,UUH4BNI0-FOK2dMXoFtViWHw
UCH4BNI0-FOK2dMXoFtViWHw | It's Okay To Be Smart,ak7GB74Qlug,youtube#video,How Did We Figure Out What Light Is?,UUH4BNI0-FOK2dMXoFtViWHw
UCH4BNI0-FOK2dMXoFtViWHw | It's Okay To Be Smart,JNBXaHT2ebE,youtube#video,What Is Luck?,UUH4BNI0-FOK2dMXoFtViWHw
UCH4BNI0-FOK2dMXoFtViWHw | It's Okay To Be Smart,KB7HzF2O3Kg,youtube#video,How Do We Know Plate Tectonics Is Real?,UUH4BNI0-FOK2dMXoFtViWHw
UCH4BNI0-FOK2dMXoFtViWHw | It's Okay To Be Smart,e3eHHwcMVcA,youtube#video,Who Invented the Meter?,UUH4BNI0-FOK2dMXoFtViWHw
UCH4BNI0-FOK2dMXoFtViWHw | It's Okay To Be Smart,GWQG1YZS9l4,youtube#video,How The Toilet Changed History,UUH4BNI0-FOK2dMXoFtViWHw
UCH4BNI0-FOK2dMXoFtViWHw | It's Okay To Be Smart,lXq7jw_dgdU,youtube#video,What If Animals Gave Relationship Advice?,UUH4BNI0-FOK2dMXoFtViWHw
UCH4BNI0-FOK2dMXoFtViWHw | It's Okay To Be Smart,89U91IT64FE,youtube#video,The Superb Owl!,UUH4BNI0-FOK2dMXoFtViWHw
UCH4BNI0-FOK2dMXoFtViWHw | It's Okay To Be Smart,6ejcOZDnyrk,youtube#video,How Many Species Are There?,UUH4BNI0-FOK2dMXoFtViWHw
UCH4BNI0-FOK2dMXoFtViWHw | It's Okay To Be Smart,asZ8MYdDXNc,youtube#video,Is This A NEW SPECIES?!,UUH4BNI0-FOK2dMXoFtViWHw
UCH4BNI0-FOK2dMXoFtViWHw | It's Okay To Be Smart,1L7EI0vKVuU,youtube#video,How An Igloo Keeps You Warm,UUH4BNI0-FOK2dMXoFtViWHw
UCH4BNI0-FOK2dMXoFtViWHw | It's Okay To Be Smart,Izf3-smXH7U,youtube#video,23 Reasons to be Cheerful (Thanks to Science!),UUH4BNI0-FOK2dMXoFtViWHw
UCH4BNI0-FOK2dMXoFtViWHw | It's Okay To Be Smart,L8Y7Q1eja-E,youtube#video,Why Does Everyone Hate Pigeons?,UUH4BNI0-FOK2dMXoFtViWHw
UCH4BNI0-FOK2dMXoFtViWHw | It's Okay To Be Smart,bqBxbMWd8O0,youtube#video,Why Don’t Woodpeckers Get Concussions?,UUH4BNI0-FOK2dMXoFtViWHw
UCH4BNI0-FOK2dMXoFtViWHw | It's Okay To Be Smart,q5a-0_xabvI,youtube#video,The Surprising Origin of Thanksgiving Foods,UUH4BNI0-FOK2dMXoFtViWHw
UCH4BNI0-FOK2dMXoFtViWHw | It's Okay To Be Smart,SWrXOlA5jrw,youtube#video,"Asteroids, Meteors, Comets… and the End of the World?",UUH4BNI0-FOK2dMXoFtViWHw
UCH4BNI0-FOK2dMXoFtViWHw | It's Okay To Be Smart,nqxabifaKJA,youtube#video,We've Got Ants In Our Plants!,UUH4BNI0-FOK2dMXoFtViWHw
